"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"1","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2600","900 to 1000","Feb-2021"
"2","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Feb-2021"
"3","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2900","1100 to 1200","Feb-2021"
"4","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2500","900 to 1000","Feb-2021"
"5","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2575","1100 to 1200","Feb-2021"
"6","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2250","900 to 1000","Feb-2021"
"7","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Jan-2021"
"8","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2900","1100 to 1200","Jan-2021"
"9","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2600","900 to 1000","Jan-2021"
"10","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2060","900 to 1000","Jan-2021"
"11","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","1","2200","1000 to 1100","Jan-2021"
"12","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2500","900 to 1000","Jan-2021"
"13","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2600","900 to 1000","Jan-2021"
"14","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Jan-2021"
"15","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2600","900 to 1000","Jan-2021"
"16","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","1","1900","900 to 1000","Jan-2021"
"17","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2450","900 to 1000","Jan-2021"
"18","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2850","1100 to 1200","Jan-2021"
"19","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Jan-2021"
"20","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2500","900 to 1000","Jan-2021"
"21","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2750","1100 to 1200","Jan-2021"
"22","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Dec-2020"
"23","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Dec-2020"
"24","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2650","1100 to 1200","Dec-2020"
"25","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3000","1100 to 1200","Dec-2020"
"26","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Dec-2020"
"27","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Dec-2020"
"28","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Dec-2020"
"29","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2550","1100 to 1200","Dec-2020"
"30","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2300","1100 to 1200","Dec-2020"
"31","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2750","1100 to 1200","Dec-2020"
"32","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3000","1100 to 1200","Dec-2020"
"33","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Dec-2020"
"34","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2500","900 to 1000","Dec-2020"
"35","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Dec-2020"
"36","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2500","900 to 1000","Dec-2020"
"37","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2100","900 to 1000","Dec-2020"
"38","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2350","1100 to 1200","Dec-2020"
"39","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Dec-2020"
"40","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Dec-2020"
"41","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Dec-2020"
"42","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Nov-2020"
"43","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Nov-2020"
"44","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Nov-2020"
"45","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","4000","1100 to 1200","Nov-2020"
"46","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Nov-2020"
"47","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2500","900 to 1000","Nov-2020"
"48","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Nov-2020"
"49","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Nov-2020"
"50","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Nov-2020"
"51","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","3000","900 to 1000","Nov-2020"
"52","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Nov-2020"
"53","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2050","900 to 1000","Nov-2020"
"54","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","3000","900 to 1000","Nov-2020"
"55","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Nov-2020"
"56","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2500","1100 to 1200","Nov-2020"
"57","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Nov-2020"
"58","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2500","900 to 1000","Nov-2020"
"59","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2000","900 to 1000","Nov-2020"
"60","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Oct-2020"
"61","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Oct-2020"
"62","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","1300 to 1400","Oct-2020"
"63","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Oct-2020"
"64","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2900","900 to 1000","Oct-2020"
"65","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3000","1100 to 1200","Oct-2020"
"66","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Oct-2020"
"67","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2780","1100 to 1200","Oct-2020"
"68","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2880","1100 to 1200","Oct-2020"
"69","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Oct-2020"
"70","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Oct-2020"
"71","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Oct-2020"
"72","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","3000","1100 to 1200","Oct-2020"
"73","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Oct-2020"
"74","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Oct-2020"
"75","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Oct-2020"
"76","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Sep-2020"
"77","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Sep-2020"
"78","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2900","1100 to 1200","Sep-2020"
"79","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3300","1100 to 1200","Sep-2020"
"80","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Sep-2020"
"81","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","4","4100","2000 to 2100","Sep-2020"
"82","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Sep-2020"
"83","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2800","1300 to 1400","Sep-2020"
"84","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","1","2000","1000 to 1100","Sep-2020"
"85","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Sep-2020"
"86","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Sep-2020"
"87","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2000","900 to 1000","Sep-2020"
"88","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2450","900 to 1000","Aug-2020"
"89","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2600","900 to 1000","Aug-2020"
"90","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2850","1100 to 1200","Aug-2020"
"91","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Aug-2020"
"92","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","1","2000","1000 to 1100","Aug-2020"
"93","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Aug-2020"
"94","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2450","900 to 1000","Aug-2020"
"95","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2100","900 to 1000","Aug-2020"
"96","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Aug-2020"
"97","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Aug-2020"
"98","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","1300 to 1400","Aug-2020"
"99","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Aug-2020"
"100","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2700","1100 to 1200","Aug-2020"
"101","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Aug-2020"
"102","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Aug-2020"
"103","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2100","900 to 1000","Aug-2020"
"104","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3300","1100 to 1200","Aug-2020"
"105","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2600","900 to 1000","Jul-2020"
"106","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2375","900 to 1000","Jul-2020"
"107","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2500","1100 to 1200","Jul-2020"
"108","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Jul-2020"
"109","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Jul-2020"
"110","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Jul-2020"
"111","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Jul-2020"
"112","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","1","2000","900 to 1000","Jul-2020"
"113","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Jul-2020"
"114","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Jul-2020"
"115","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2350","900 to 1000","Jul-2020"
"116","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","4","4000","1800 to 1900","Jul-2020"
"117","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Jul-2020"
"118","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Jul-2020"
"119","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Jul-2020"
"120","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Jul-2020"
"121","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2250","900 to 1000","Jul-2020"
"122","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2450","900 to 1000","Jul-2020"
"123","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Jul-2020"
"124","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2800","1300 to 1400","Jun-2020"
"125","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Jun-2020"
"126","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Jun-2020"
"127","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Jun-2020"
"128","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2500","1100 to 1200","Jun-2020"
"129","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Jun-2020"
"130","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Jun-2020"
"131","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Jun-2020"
"132","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2850","1100 to 1200","Jun-2020"
"133","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2000","900 to 1000","May-2020"
"134","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2600","900 to 1000","May-2020"
"135","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2800","1100 to 1200","May-2020"
"136","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2050","900 to 1000","May-2020"
"137","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","May-2020"
"138","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2650","1100 to 1200","May-2020"
"139","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2550","1100 to 1200","May-2020"
"140","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","3000","1100 to 1200","May-2020"
"141","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","May-2020"
"142","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","May-2020"
"143","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2500","1100 to 1200","May-2020"
"144","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2500","900 to 1000","May-2020"
"145","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2300","1100 to 1200","Apr-2020"
"146","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Apr-2020"
"147","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Apr-2020"
"148","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2250","900 to 1000","Apr-2020"
"149","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2600","900 to 1000","Apr-2020"
"150","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3000","1100 to 1200","Apr-2020"
"151","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3000","1100 to 1200","Apr-2020"
"152","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Apr-2020"
"153","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2500","1100 to 1200","Apr-2020"
"154","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Apr-2020"
"155","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2388","900 to 1000","Apr-2020"
"156","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","1300 to 1400","Apr-2020"
"157","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2900","1100 to 1200","Apr-2020"
"158","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Apr-2020"
"159","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2150","900 to 1000","Apr-2020"
"160","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","4","4150","1800 to 1900","Apr-2020"
"161","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Apr-2020"
"162","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2400","1100 to 1200","Mar-2020"
"163","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2720","1100 to 1200","Mar-2020"
"164","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2500","1100 to 1200","Mar-2020"
"165","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2550","1100 to 1200","Mar-2020"
"166","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2100","900 to 1000","Mar-2020"
"167","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Mar-2020"
"168","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2600","900 to 1000","Mar-2020"
"169","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2850","1100 to 1200","Mar-2020"
"170","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Mar-2020"
"171","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2450","900 to 1000","Mar-2020"
"172","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Mar-2020"
"173","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Mar-2020"
"174","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3000","1100 to 1200","Mar-2020"
"175","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2680","1100 to 1200","Feb-2020"
"176","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3000","1100 to 1200","Feb-2020"
"177","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","1","1800","1000 to 1100","Feb-2020"
"178","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2350","900 to 1000","Feb-2020"
"179","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Feb-2020"
"180","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2900","1100 to 1200","Feb-2020"
"181","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Feb-2020"
"182","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2500","900 to 1000","Feb-2020"
"183","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Feb-2020"
"184","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2450","1100 to 1200","Jan-2020"
"185","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Jan-2020"
"186","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2060","900 to 1000","Jan-2020"
"187","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2600","900 to 1000","Jan-2020"
"188","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2900","1100 to 1200","Jan-2020"
"189","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2900","1100 to 1200","Jan-2020"
"190","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Jan-2020"
"191","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","1","2200","1000 to 1100","Jan-2020"
"192","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Jan-2020"
"193","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2750","1100 to 1200","Jan-2020"
"194","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2350","900 to 1000","Jan-2020"
"195","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2600","900 to 1000","Jan-2020"
"196","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3000","1100 to 1200","Dec-2019"
"197","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Dec-2019"
"198","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2450","900 to 1000","Dec-2019"
"199","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2500","1100 to 1200","Dec-2019"
"200","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Dec-2019"
"201","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","1300 to 1400","Dec-2019"
"202","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","4","4200","1800 to 1900","Dec-2019"
"203","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2500","900 to 1000","Dec-2019"
"204","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","5","5200","2300 to 2400","Dec-2019"
"205","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Dec-2019"
"206","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2100","900 to 1000","Dec-2019"
"207","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Dec-2019"
"208","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2850","1300 to 1400","Nov-2019"
"209","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","1","1950","900 to 1000","Nov-2019"
"210","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2850","1100 to 1200","Nov-2019"
"211","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2750","1100 to 1200","Nov-2019"
"212","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2150","900 to 1000","Nov-2019"
"213","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Nov-2019"
"214","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2600","900 to 1000","Nov-2019"
"215","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2500","1100 to 1200","Nov-2019"
"216","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Nov-2019"
"217","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2500","900 to 1000","Nov-2019"
"218","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2150","900 to 1000","Nov-2019"
"219","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Nov-2019"
"220","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Nov-2019"
"221","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Nov-2019"
"222","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Oct-2019"
"223","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Oct-2019"
"224","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Oct-2019"
"225","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Oct-2019"
"226","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2250","900 to 1000","Oct-2019"
"227","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2780","1100 to 1200","Oct-2019"
"228","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Oct-2019"
"229","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2850","1100 to 1200","Oct-2019"
"230","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Oct-2019"
"231","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Oct-2019"
"232","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Oct-2019"
"233","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2500","1100 to 1200","Oct-2019"
"234","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Oct-2019"
"235","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Oct-2019"
"236","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2100","900 to 1000","Sep-2019"
"237","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2500","900 to 1000","Sep-2019"
"238","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2900","1100 to 1200","Sep-2019"
"239","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2900","1100 to 1200","Sep-2019"
"240","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3000","1100 to 1200","Sep-2019"
"241","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3050","1100 to 1200","Sep-2019"
"242","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","1","2000","900 to 1000","Sep-2019"
